k_neighbors,rank,query_id,distance_bin_key,paired_reduction_vs_vanilla,delta_f_minus_v_s,f_n3p_time_s,vanilla_time_s,f_n3p_feasible,vanilla_feasible,fallback_f1_count,fallback_f2_count,fallback_f3_count,failure_reason
20,1,extreme_s01_q0026,d16_20,-2.44655350488946,0.7259519237559289,1.0226762432139367,0.2967243194580078,True,True,19,1,0,
20,2,extreme_s02_q0048,d08_12,-2.439676977342314,0.8757287862244993,1.2346815469209105,0.35895276069641113,True,True,20,1,0,
20,3,extreme_s04_q0086,d16_20,-0.5960506929634894,0.15106729324907064,0.40451434906572104,0.2534470558166504,True,True,49,2,0,
20,4,extreme_s03_q0069,d12_16,-0.4703947877781045,0.10558588220737875,0.3300481529440731,0.22446227073669434,True,True,50,2,0,
20,5,extreme_s01_q0039,d20_inf,-0.4247635809509578,1.0619878428988159,3.562173570971936,2.50018572807312,False,False,33,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
20,6,extreme_s04_q0083,d20_inf,-0.41327924595328636,1.0332515200134367,3.5333807428833097,2.500129222869873,False,False,26,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
20,7,extreme_s01_q0020,d08_12,-0.22730819843802874,0.05476971808820963,0.2957188719883561,0.24094915390014648,True,True,19,1,0,
20,8,extreme_s03_q0060,d08_12,-0.04123963512103934,0.02248973329551518,0.5678324170876294,0.5453426837921143,True,True,22,1,0,
20,9,extreme_s02_q0052,d08_12,0.08676873090554882,-0.016784519189968705,0.17665520287118852,0.19343972206115723,True,True,21,1,0,
20,10,extreme_s00_q0002,d16_20,0.3085384988346326,-0.2808769450057298,0.6294695630203933,0.910346508026123,True,True,23,1,0,
20,11,extreme_s00_q0018,d16_20,0.4770290578084213,-0.24007016327232122,0.26319092605262995,0.5032610893249512,True,True,34,1,0,
20,12,extreme_s00_q0009,d12_16,0.5659442532348353,-0.24757146555930376,0.1898770360276103,0.43744850158691406,True,True,26,1,0,
20,13,extreme_s04_q0091,d20_inf,0.5887486705477875,-0.35254267090931535,0.24625727301463485,0.5987999439239502,True,True,30,1,0,
20,14,extreme_s04_q0099,d20_inf,0.59091419140804,-1.4773073156829923,1.0227296391967684,2.5000369548797607,True,False,21,1,0,
20,15,extreme_s04_q0096,d08_12,0.6437432979545026,-0.34524778253398836,0.19106503599323332,0.5363128185272217,True,True,22,1,0,
20,16,extreme_s04_q0084,d08_12,0.6817013594204775,-0.5167581655550748,0.2412836931180209,0.7580418586730957,True,True,49,1,0,
20,17,extreme_s02_q0041,d12_16,0.694853883843721,-0.5739675140939653,0.25205868715420365,0.826026201248169,True,True,19,1,0,
20,18,extreme_s03_q0070,d16_20,0.8025496987234849,-0.12434696196578443,0.030592927942052484,0.15493988990783691,True,True,5,0,0,
20,19,extreme_s01_q0038,d16_20,0.8122299503801053,-0.16821294697001576,0.03888720599934459,0.20710015296936035,True,True,12,0,0,
20,20,extreme_s03_q0063,d20_inf,0.8158751006960027,-0.14433815237134695,0.03257391694933176,0.1769120693206787,True,True,15,0,0,
40,1,extreme_s03_q0069,d12_16,-0.8536710462323649,0.18929058173671365,0.4110277281142771,0.22173714637756348,True,True,72,1,1,
40,2,extreme_s01_q0039,d20_inf,-0.4266277992907286,1.0667076285462826,3.5670314009767026,2.50032377243042,False,False,53,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
40,3,extreme_s04_q0083,d20_inf,-0.41375074875265505,1.034877302357927,3.536086799809709,2.5012094974517822,False,False,46,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
40,4,extreme_s03_q0060,d08_12,-0.04286716856996864,0.023300071945413947,0.5668412649538368,0.5435411930084229,True,True,42,1,0,
40,5,extreme_s04_q0086,d16_20,0.0669085348668279,-0.01709505612961948,0.23840382997877896,0.25549888610839844,True,True,76,1,0,
40,6,extreme_s02_q0052,d08_12,0.08504837922445652,-0.01658917311578989,0.17846655007451773,0.19505572319030762,True,True,41,1,0,
40,7,extreme_s02_q0048,d08_12,0.3818775295475615,-0.13656494836322963,0.22104956884868443,0.35761451721191406,True,True,73,1,0,
40,8,extreme_s00_q0009,d12_16,0.5593016127586561,-0.24342578370124102,0.19180590193718672,0.43523168563842773,True,True,46,1,0,
40,9,extreme_s04_q0091,d20_inf,0.582738824337075,-0.34995389939285815,0.2505791091825813,0.6005330085754395,True,True,50,1,0,
40,10,extreme_s04_q0096,d08_12,0.6491973446509876,-0.3508275016210973,0.18957443395629525,0.5404019355773926,True,True,42,1,0,
40,11,extreme_s04_q0084,d08_12,0.6737851191028115,-0.5113041524309665,0.24754928308539093,0.7588534355163574,True,True,69,1,0,
40,12,extreme_s03_q0070,d16_20,0.7992716531781718,-0.123442122945562,0.031001141062006354,0.15444326400756836,True,True,5,0,0,
40,13,extreme_s01_q0038,d16_20,0.8108099221945764,-0.16866349731571972,0.03935504402033985,0.20801854133605957,True,True,12,0,0,
40,14,extreme_s03_q0063,d20_inf,0.8214023623445759,-0.14539060578681529,0.03161230101250112,0.1770029067993164,True,True,15,0,0,
40,15,extreme_s03_q0077,d12_16,0.8231051413540738,-0.16284682950936258,0.034997675800696015,0.1978445053100586,True,True,1,0,0,
40,16,extreme_s03_q0064,d08_12,0.8261882880190193,-0.17441828036680818,0.03669374203309417,0.21111202239990234,True,True,1,0,0,
40,17,extreme_s01_q0026,d16_20,0.827972174253571,-0.24595525325275958,0.05110213696025312,0.2970573902130127,True,True,26,0,0,
40,18,extreme_s01_q0031,d20_inf,0.8411998319295304,-0.19766001147218049,0.03731389599852264,0.23497390747070312,True,True,13,0,0,
40,19,extreme_s02_q0059,d20_inf,0.8416499507672628,-0.16512902243994176,0.03106777206994593,0.1961967945098877,True,True,21,0,0,
40,20,extreme_s04_q0087,d20_inf,0.8452445201338589,-0.2734895332250744,0.05007308884523809,0.3235626220703125,True,True,15,0,0,
