arxiv_id,citation_key,title,authors_short,year,direction_tag,status,source,reason,size_bytes,lines,sections,formulas,pdf_path,md_path
2508.21637,Natarajan2025AMHA,A-MHA*: Anytime Multi-Heuristic A*,Ramkumar Natarajan et al.,2025,E_bounded_suboptimal_search,success,pymupdf4llm,,22609,181,15,0,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Natarajan2025AMHA.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Natarajan2025AMHA.md
2509.04950,Ham2025GroundAware,Ground-Aware Octree-A* Hybrid Path Planning for Memory-Efficient 3D Navigation of Ground Vehicles,Byeong-Il Ham et al.,2025,F_hybrid_astar,success,arxiv-e-print,,23637,180,8,55,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Ham2025GroundAware.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Ham2025GroundAware.md
2509.05345,Qu2025INF3DP,INF-3DP: Implicit Neural Fields for Collision-Free Multi-Axis 3D Printing,Jiasheng Qu et al.,2025,L_learning_path_optimization,success,arxiv-e-print,,104253,514,35,341,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Qu2025INF3DP.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Qu2025INF3DP.md
2509.06115,Bao2025Hybrid,Hybrid A* Path Planning with Multi-Modal Motion Extension for Four-Wheel Steering Mobile Robots,Runjiao Bao et al.,2025,F_hybrid_astar;P_nonholonomic_constraints,success,arxiv-e-print,,31591,255,15,90,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Bao2025Hybrid.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Bao2025Hybrid.md
2509.07321,Majhor2025Performance,Performance Characterization of a Point-Cloud-Based Path Planner in Off-Road Terrain,Casey D. Majhor et al.,2025,O_dense_forest_narrow_passage,success,arxiv-e-print,,87557,698,29,175,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Majhor2025Performance.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Majhor2025Performance.md
2509.08160,Parimi2025DiffusionGuided,Diffusion-Guided Multi-Arm Motion Planning,Viraj Parimi et al.,2025,H_hierarchical_planning,success,arxiv-e-print,,46136,312,15,232,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Parimi2025DiffusionGuided.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Parimi2025DiffusionGuided.md
2509.08521,Nia2025FMT,FMT$^{x}$: An Efficient and Asymptotically Optimal Extension of the Fast Marching Tree for Dynamic Replanning,Soheil Espahbodini Nia,2025,D_asymptotically_optimal_sampling,success,arxiv-e-print,,76914,513,30,400,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Nia2025FMT.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Nia2025FMT.md
2509.10349,Lu2025Acetrans,Acetrans: An Autonomous Corridor-Based and Efficient UAV Suspended Transport System,Weiyan Lu et al.,2025,I_corridor_planning,success,arxiv-e-print,,124822,1100,64,431,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Lu2025Acetrans.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Lu2025Acetrans.md
2509.11240,Zhang2025CORBPlanner,CORB-Planner: Corridor as Observations for RL Planning in High-Speed Flight,Yechen Zhang et al.,2025,I_corridor_planning,success,arxiv-e-print,,51424,356,22,387,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Zhang2025CORBPlanner.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Zhang2025CORBPlanner.md
2509.14460,Ajith2025Learning,Learning Discrete Abstractions for Visual Rearrangement Tasks Using Vision-Guided Graph Coloring,Abhiroop Ajith et al.,2025,G_subgoal_optimization,success,arxiv-e-print,,54402,388,30,306,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Ajith2025Learning.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Ajith2025Learning.md
