difficulty_bucket,query_id,expansion_idx,state_x,state_y,state_theta,goal_x,goal_y,goal_theta,nearest_obstacle_m,oracle_a_failure_reason,oracle_b_failure_reason,candidate_raw_count,candidate_rs_reachable_count,oracle_b_attempted_candidate_count,oracle_b_selected_candidate_source,oracle_b_total_path_length_m,oracle_b_min_clearance_m,oracle_b_direction_switches,source_head
Extreme,extreme_s00_q0006,224,23.901115769755318,11.755172661915246,2.9137562825494507,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,344,37,1,goal_annulus,15.85297637052876,0.052792791767064806,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,232,23.597762166806074,11.670413851785453,-3.0464129895785694,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,344,37,2,goal_annulus,16.420196494616548,0.05637806233564324,4.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,248,23.426490600081173,11.334454779782474,-3.0694290246301357,9.3,11.100000000000001,-3.0694290246301357,0.7280110120773315,timeout,,396,37,1,goal_annulus,16.50468858936764,0.05743883931983762,2.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,256,23.880111548336824,11.797761632233659,-3.0694290246301357,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,345,38,1,goal_annulus,15.80670512268053,0.07147443947752385,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,264,23.59389170212238,11.690812639467143,-2.9079210071043526,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,344,37,1,goal_annulus,16.13122256770236,0.07729341417330104,2.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,272,24.187019167142697,11.775167666798396,-2.769429024630136,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,345,38,1,goal_annulus,16.73529736800245,0.06761618676371772,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,280,23.608868557439525,11.82293376354183,2.9137562825494507,9.3,11.100000000000001,-3.0694290246301357,0.9055384993553162,timeout,,344,37,11,goal_annulus,17.7840940063225,0.07124471324293846,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,288,24.05521079690515,11.36856958040816,-2.3309370421559192,9.3,11.100000000000001,-3.0694290246301357,1.2999999523162842,timeout,,396,38,2,voronoi_skeleton,16.53402199198534,0.06767271603832814,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,296,24.22800083184903,11.662058954773954,-2.607921007104353,9.3,11.100000000000001,-3.0694290246301357,1.0,timeout,,345,38,2,voronoi_skeleton,16.806330500563543,0.06230377710572449,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,304,23.43378126772576,11.42120166690644,-2.3309370421559192,9.3,11.100000000000001,-3.0694290246301357,0.7071067690849304,timeout,,396,37,1,goal_annulus,15.924240826302903,0.06833911310239527,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,312,24.44350567663461,12.129781353034218,3.0522482650236675,9.3,11.100000000000001,-3.0694290246301357,0.6324555277824402,timeout,,345,37,5,goal_annulus,17.120842983297706,0.05765170419357063,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,320,24.167262795320596,11.862626901472716,-2.769429024630136,9.3,11.100000000000001,-3.0694290246301357,0.800000011920929,timeout,,345,38,1,goal_annulus,16.070610347110858,0.07005789692240849,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,328,24.239915504017592,11.651978751200364,-3.0694290246301357,9.3,11.100000000000001,-3.0694290246301357,1.0,timeout,,345,38,1,goal_annulus,16.352637699443534,0.08087097938776966,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,336,23.998690619522808,11.44314660792842,-2.630937042155919,9.3,11.100000000000001,-3.0694290246301357,1.2999999523162842,timeout,,396,38,2,voronoi_skeleton,16.17605160955069,0.05846803323339833,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,344,23.845130560370517,11.17081821312102,-2.769429024630136,9.3,11.100000000000001,-3.0694290246301357,1.140175461769104,timeout,,396,38,1,goal_annulus,16.026248735375646,0.08241262429070695,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
